Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA ,IP-SOLVENTE-1-PAI,UN,225,0,0.0,0,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Amarelo,IP995,UN,225,0,13.0,135.75,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Cyan,IP993,UN,225,0,14.0,135.51,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Magenta,IP994,UN,225,0,15.0,135.71,servi
  TINTA SOLVENTE 1 LT TECNOPAINT - SAMBA  - Preto,IP996,UN,225,0,10.0,135.5,servi
" Adesivo Prata Inox Geladeira Fogão Moveis 1,50m X 0,70 Cm ",IP47-150,,44.02,0,155.0,16.4,servi
" Adesivo Prata Inox Geladeira Fogão Moveis 2 M X 0,70 Cm ",IP47-2,UN,46.06,0,116.0,21.86,servi
" Black Piano Envelopamento Teto Capô Carro 2mx1,22m+espatula",181611395040,un,88.98,0,86.0,30.61,servi
"10 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc",IP607-10,UN,273.49,0,45.0,0,servi
"10 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,50mm",IP740-10,UN,370.5,0,16.0,166.6,servi
10 Espátulas Flexível Aplicação Envelopamento E Adesivos,IP172-10,UN,99.58,0,147.0,9.33,servi
10 Faixas Refletivas Lateral Avery Caminhão Vã Denatran ,MLB3284351541,UN,47.76,0,0.0,0,servi
10 Faixas Refletivas Lateral Avery Caminhão Vã Denatran  - Vermelho/Branco,IP968-10,UN,47.76,0,63.0,16.33,servi
10 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-10,UN,380,0,37.0,151.97,servi
10 Lâminas De Plástico Para Ratinho Raspador,MLB3582535925,UN,28.2,0,0.0,0,servi
10 Lâminas De Plástico Para Ratinho Raspador - Lamina de plástico para ratinho,KIT-IP224-10,UN,28.2,0,39.0,2.1,servi
"10 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira",MLB2762809910,UN,197.69,0,0.0,0,servi
"10 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - incolor",IP966-10,UN,197.69,0,11.0,0,servi
10 Peças De Lamina Para Raspador Ratinho Insulfilme Adesivo,IP181-10,UN,20,0,72.0,6.5,servi
10 Rolo de Fita Dupla Face na medida de 12mm x 20m,IP471-10,UN,350,0,39.0,98.43,servi
10 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-10,UN,380,0,3.0,349.58,servi
10 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-10,UN,230,0,35.0,73.6,servi
100 Laminas Adesivo Insufilm 9mm Aço Carbono Norma One Way,MLB2158686719,UN,123.57,0,0.0,0,servi
100 Laminas Adesivo Insufilm 9mm Aço Carbono Norma One Way - 10 TUBINHOS C- 10 LAMINA CADA TUBO,IP153-10,UN,123.57,0,37.0,56.33,servi
11 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-11,UN,130,0,73.0,40.37,servi
"12 Chapas Placa Ps Poliestireno 1,20m X 60cm 1 Mm Pvc Branco",IP904-12,,268.43,0,27.0,0,servi
12 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-12,UN,145,0,67.0,44.04,servi
13 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-13,UN,156,0,62.0,47.71,servi
14Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-14,UN,154,0,58.0,51.38,servi
"15 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-15,UN,30.08,0,29.0,0,servi
15 Fita Dupla Face Saint Gobain Para Acm 20 Metros 12mmx20mt,IP471-15,UN,505,0,26.0,147.64,servi
15 Peças De Lamina Para Raspador Ratinho Insulfilme Adesivo,IP181-15,UN,30,0,49.0,9.75,servi
16 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-16,UN,176,0,50.0,58.72,servi
17 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-17,UN,180,0,47.0,62.39,servi
18 Colas Vinil Extra 75g Brascola - Pvc Lona Faixa Banner,IP154-18,UN,160,0,44.0,66.06,servi
19 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-19,UN,190,0,42.0,69.73,servi
2  Espátula Profissional Boomer Neon Joker Código : 5569,IP1202-2,UN,130,0,0.0,0,servi
2 Chapa De Ps 1 Mm Poliestireno Cor Preta Tamanho 2x1 Psai,IP1100-2,UN,127.68,0,99.0,44.46,servi
"2 Chapa De Ps 2mm Poliestireno Preta Tamanho 1,30x3,00 Psai",IP593-2,UN,399.38,0,49.0,172.58,servi
"2 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-2,UN,58.79,0,225.0,0,servi
"2 Chapa Placa Ps Poliestireno 1,20m X 60cm 1 Mm Pvc Branco",IP904-2,UN,67.9,0,162.0,0,servi
"2 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-2,UN,104.32,0,244.0,0,servi
"2 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,30mm",IP793-2,UN,62.74,0,37.0,19.48,servi
"2 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,50mm",IP740-2,UN,100.61,0,78.0,33.32,servi
2 Chapa Ps Branco 2 Mm 2x1 Comunicacao Visual Placas,IP33-2,UN,270,0,1.0,95.91,servi
"2 Cola Vinil Para Piscina, Lonas E Toldos - Lata 750 Gr",MLB2894792663,UN,147.25,0,0.0,0,servi
"2 Cola Vinil Para Piscina, Lonas E Toldos - Lata 750 Gr - BRASCOPREN BR 800 PVC",IP155-2,UN,142.5,0,13.0,40.98,servi
2 Colas Para Chapas De Ps Pvc Poliestireno 900 Ml Sulcolor,IP1116-2,UN,133,0,4.0,53.54,servi
2 Espátula Com Feltro Para Envelopamento De Adesivo,MLB1794673106,UN,21.24,0,0.0,0,servi
2 Espátula Com Feltro Para Envelopamento De Adesivo - ESPATULA VARIAS CORES C-FELTRO ORAMA,KIT-172-39-2,UN,21.24,0,503.0,4.18,servi
2 Espátula Magnética Magfluor  Pink Rígida - Joker,IP1066-2,UN,105,0,1.0,44.52,servi
2 Espatulas Para Envelopamento Guia De Corte 90 Graus Joker,MLB4656769922,UN,110,0,0.0,0,servi
2 Espatulas Para Envelopamento Guia De Corte 90 Graus Joker - COD4036 RONEK,IP775-2,UN,110,0,20.0,42.92,servi
2 Estiletes De Segurança Bico De Pato Norma Bp22,IP1089-2,UN,111.15,0,16.0,59.4,servi
2 Estiletes Essencial Profissional Norma L440 18 Mm,IP1086-2,UN,24.6,0,8.0,15.66,servi
2 Estiletes Essencial Profissional Norma L460 18 Mm,IP1088-2,UN,47.5,0,7.0,23.58,servi
2 Estiletes Profissional Norma C/trava De Rosca L450 18 Mm,IP1087-2,UN,46.5,0,6.0,23.58,servi
2 Faixas Refletiva P Parachoque De Caminhãoaprovado Avery,MLB3452725368,UN,142.56,0,0.0,0,servi
2 Faixas Refletiva P Parachoque De Caminhãoaprovado Avery - Vermelho/Branco,IP969-2,UN,142.56,0,5.0,64,servi
2 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP961-2,UN,80,0,15.0,69.92,servi
2 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-2,UN,80,0,184.0,30.39,servi
"2 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira",MLB2663962277,UN,46.8,0,0.0,0,servi
"2 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - 30 cm de largura",IP966-2,UN,46.8,0,56.0,0,servi
"2 Placa De Acrilico Para Ensaio Fotográfico Petg 0,5mm 1mx2m",IP1078-2,UN,217.8,0,50.0,0,servi
2 Placa De Ps Poliestireno Tam 2x1 Espessura 1 Mm,MLB2616310339,UN,180.5,0,0.0,0,servi
2 Placa De Ps Poliestireno Tam 2x1 Espessura 1 Mm - BRANCO,IP30-2,UN,180.5,0,8.0,47.69,servi
"2 Placas Chapa Polionda Plastionda Branca 3 Mm 1,30x2,00",IP1080-2,UN,159.8,0,21.0,71.86,servi
"2 Placas Polionda Plastionda Branca 4 Mm 1,30x2,00",IP1111-2,UN,122.2,0,33.0,107.68,servi
2 Primer Para Acm Promotor De Aderência Adere 940ml Vhb,IP1395-2,UN,445,0,14.0,203.48,servi
2 Primer/promotor De Aderência Para Acm I9 Embalagem 900ml,IP1023-2,UN,171.53,0,31.0,72.4,servi
2 Ps Luminaria Translucida 1mm 2metros X 1metro,IP1215-2,UN,222.3,0,215.0,0,servi
2 Rolo de Fita Dupla Face na medida de 12mm x 20m,IP471-2,UN,74,0,199.0,19.69,servi
2 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-2,UN,48.5,0,177.0,14.72,servi
2 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-2,UN,30,0,407.0,7.34,servi
2 UND PANO MICROFIBRA 39X39 AZUL SK2 - 63-2170,IP769,UN,23,0,0.0,9.14,servi
20 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery,MLB3464575031,UN,130,0,0.0,0,servi
20 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery - Vermelho/Branco,KIT-968-20-969,UN,130,0,-28.0,64.66,servi
25 Peças De Lamina Raspador Ratinho Insulfilme Adesivo,MLB2179946103,UN,40.54,0,0.0,0,servi
25 Peças De Lamina Raspador Ratinho Insulfilme Adesivo - 25 lamina de ferro para ratinho,IP181-25,UN,40.54,0,29.0,16.25,servi
"26 Placa Chapa Pvc Transparente Cristal 120 X 60 Cm X 0,70mm",IP794-26,UN,1254,0,3.0,609.18,servi
"3 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-3,UN,139.65,0,164.0,0,servi
"3 Chapa Placa Ps Psai 1 Mm 1,30 X 3,00 Pvc Branco",IP1099-3,UN,294.26,0,1.0,0,servi
"3 Chapa Placa Ps Psai 2 Mm 1,30 X 3,00 Pvc Branco",IP905-3,UN,517.75,0,-4.0,290.75,servi
"3 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,30mm",IP793-03,UN,110,0,25.0,29.22,servi
3 Chapa Ps Branco 1mm 2x1 Comunicacao Visual Placas,IP30-3,UN,187.53,0,6.0,71.53,servi
3 Espatula De Feltro Anti Risco Para Envelopamento E Adesivo,IP38-3,UN,63.37,0,27.0,29.87,servi
3 Espatulas De Silicone Com Feltro Envelopamento De Adesivos,MLB2927316018,UN,36.67,0,0.0,0,servi
3 Espatulas De Silicone Com Feltro Envelopamento De Adesivos - 3 ESPÁTULA VARIAS CORES E 3 FELTROS PRETO ORAMA,KIT-172-39-3,UN,36.67,0,335.0,6.27,servi
3 Faixas Refletivas P/ Parachoque De Caminhão Avery Original,MLB3452682042,UN,178.6,0,0.0,0,servi
3 Faixas Refletivas P/ Parachoque De Caminhão Avery Original - Vermelho/Branco,IP969-3,UN,178.6,0,3.0,96,servi
3 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-3,UN,110,0,133.0,29.53,servi
3 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-3,UN,120,0,123.0,45.59,servi
3 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP961-3,UN,120,0,10.0,104.87,servi
"3 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - 30 cm de largura",MLB2664022147,UN,65.04,0,0.0,0,servi
"3 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - 30 cm de largura - MANTA ADESIVADA",IP966-3,UN,65.04,0,38.0,0,servi
"3 Placa De Acrilico P Ensaio Fotográfico Pvc 0,30mm 60x1,20",IP793-3,UN,99,0,0.0,0,servi
"3 Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-3,UN,90,0,149.0,0,servi
3 Ps Luminaria Translucida 1mm Tam 2x1,IP1215-3,un,310.2,0,143.0,0,servi
3 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-3,UN,78,0,117.0,22.08,servi
3 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-3,UN,54.88,0,271.0,11.01,servi
"30 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc",IP607-30,UN,714.11,0,14.0,0,servi
35 Fita Dupla Face Saint Gobain Para Acm 20 Metros -15mmx20m,IP962-35,UN,1500,0,1.0,420.7,servi
"4 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-4,UN,174.56,0,122.0,0,servi
"4 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,30mm",IP793-4,UN,122,0,18.0,38.96,servi
4 Chapa Ps Branco 1mm 2x1 Comunicacao Visual Placas,IP30-4,UN,234.41,0,5.0,95.37,servi
4 Espatula De Feltro Anti Risco Para Envelopamento E Adesivo,IP38-4,UN,80.48,0,21.0,39.83,servi
4 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery,MLB3464554299,UN,95.95,0,0.0,0,servi
4 Faixas Refletiva Lateral + 1 P/ Parachoque Caminhão Avery - Vermelho/Branco,KIT-968-4-969,UN,95.95,0,-205.0,38.53,servi
4 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-4,UN,148,0,99.0,39.37,servi
"4 Placa De Acrilico Para Ensaio Fotográfico Petg 0,5mm 1mx2m",IP1078-4,UN,502.02,0,25.0,0,servi
4 Placa De Ps 3 Mm Chapa Cor Preta Tamanho 2x1 Psai,IP763-4,UN,610,0,8.0,281.23,servi
"4 Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-4,UN,112,0,112.0,0,servi
4 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP472-4,UN,160,0,93.0,60.79,servi
4 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-4,UN,160,0,7.0,139.83,servi
4 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-4,UN,100,0,88.0,29.44,servi
4 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-4,UN,65,0,203.0,14.68,servi
"40 Placa Chapa Pvc Transparente Cristal 120 X 60 Cm X 0,70mm",IP794-40,UN,1900,0,1.0,937.2,servi
5 Chapa De Ps 1 Mm Poliestireno Cor Preta Tamanho 2x1 Psai,IP1100-5,UN,335,0,40.0,111.16,servi
"5 Chapa Placa Ps Poliestireno 1,20m X 60cm 0,50mm Pvc Branco",IP607-5,UN,145.53,0,90.0,0,servi
"5 Chapa Placa Ps Poliestireno 2mt X 1mt 0,50mm Pvc Branco",IP859-5,UN,250.92,0,98.0,0,servi
"5 Chapa Placa Pvc Transparente Cristal 120 X 60 Cm X 0,50mm",IP740-5,UN,231.7,0,31.0,83.3,servi
5 Chapa Ps Branco 1mm 2x1 Comunicacao Visual Placas,IP30-5,UN,376.95,0,4.0,119.21,servi
5 Chapa Ps Branco 2 Mm 2x1 Comunicacao Visual Placas,IP33-5,UN,453.86,0,0.0,239.77,servi
5 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-5,UN,182,0,78.0,49.21,servi
5 Fita Dupla Face Para Acm 20 Metros - 19mmx20m Saint Gobain,IP472-5,UN,233.74,0,73.0,75.98,servi
"5 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira",MLB2663897436,UN,116.86,0,0.0,0,servi
"5 Metros Manta Imantada Adesivada 0,3mm Imã De Geladeira - Manta Magnética Rolo com 5 metros x 30cm largura x 03mm de es",IP966-5,UN,116.86,0,22.0,0,servi
5 Primer Para Acm Promotor De Aderência Adere 940ml Vhb,IP1395-5,UN,1050,0,5.0,508.7,servi
5 Primer Promotor Para Acm I9 Aderência Fita Dupla Face,IP1023-5,UN,422.11,0,12.0,181.01,servi
5 Ps Translucida Led Luminaria 1mm 2metros X 1metro,IP1215-5,UN,451.25,0,86.0,0,servi
5 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-5,UN,195,0,6.0,174.79,servi
5 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-5,UN,125,0,70.0,36.8,servi
50 Laminas Adesivo Insufilm 9mm Aço Carbono Norma One Way,IP153-5,UN,62.62,0,76.0,28.16,servi
50 Peças De Lamina Para Raspador Ratinho Insulfilme Adesivo,MLB2755227911,UN,69.5,0,0.0,0,servi
50 Peças De Lamina Para Raspador Ratinho Insulfilme Adesivo - 50 LAMINA DE METAL PARA RATINHO,IP181-50,UN,69.5,0,15.0,32.5,servi
"6 Chapa De Ps 2mm Poliestireno Preta Tamanho 1,30x3,00 Psai",IP593-6,UN,1040.25,0,15.0,517.74,servi
6 Chapa Ps Branco 1mm 2x1 Comunicacao Visual Placas,IP30-6,UN,435,0,2.0,143.06,servi
6 Faixa Refletiva Lateral + 1 P/ Parachoque Caminhão Avery,MLB3464566425,UN,99.75,0,0.0,0,servi
6 Faixa Refletiva Lateral + 1 P/ Parachoque Caminhão Avery - Vermelho/Branco,KIT-968-6-969,UN,99.75,0,-131.0,41.8,servi
6 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-6,UN,220,0,67.0,59.06,servi
6 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-6,UN,235,0,61.0,91.18,servi
6 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP472-6,UN,235,0,61.0,91.18,servi
6 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-6,UN,144,0,59.0,44.16,servi
6 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-6,UN,84,0,135.0,22.02,servi
7 Rolo de Fita Dupla Face na medida de 12mm x 20m,IP471-7,UN,245,0,57.0,68.9,servi
7 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP472-7,UN,266,0,52.0,106.38,servi
7 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-7,UN,266,0,3.0,244.7,servi
7 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-7,UN,168,0,50.0,51.52,servi
7 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-7,UN,90,0,116.0,25.69,servi
8 Fita Dupla Face Para Acm 20 Metros - 12mmx20m Saint Gobain,IP471-8,UN,280,0,50.0,78.74,servi
8 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP472-8,UN,304,0,47.0,121.58,servi
8 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-8,UN,304,0,3.0,279.66,servi
8 Rolo de Fita Dupla Face na medida de 9mm x 20m,IP495-8,UN,190,0,44.0,58.88,servi
9 Fita Dupla Face Para Acm 20 Metros - 09mmx20m Saint Gobain,IP495-9,UN,212,0,38.0,66.24,servi
9 Rolo de Fita Dupla Face na medida de 12mm x 20m,IP471-9,UN,315,0,44.0,88.58,servi
9 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP472-9,UN,342,0,41.0,136.77,servi
9 Rolo de Fita Dupla Face na medida de 19mm x 20m,IP961-9,UN,342,0,3.0,314.62,servi
9 Tubos Cola Vinil Lonas Piscina Toldos Banner Caminhão 75g,IP154-9,UN,108,0,89.0,33.03,servi
"ABRACADEIRA 4,7 X 280 MM UV 200 PEÇAS",IP387,UN,37,0,1.0,23.53,servi
"Adesivo Automotivo Black Piano P/ Envelopamento 1,50m X 30cm",IP1097-150,UN,16.92,0,24.0,5.33,servi
"Adesivo Automotivo Black Piano P/ Envelopamento 1,50m X 60cm",MLB3204025667,UN,31.86,0,0.0,0,servi
"Adesivo Automotivo Black Piano P/ Envelopamento 1,50m X 60cm - VINIL SILVER MAX SUPER BRILHO",IP891-150,UN,31.86,0,74.0,10.59,servi
"Adesivo Automotivo Black Piano P/ Envelopamento 2,50m X 30cm",IP1097-250,UN,38,0,14.0,8.88,servi
Adesivo Automotivo Black Piano P/ Envelopamento 2m X 60cm,MLB2910279461,UN,56.96,0,0.0,0,servi
Adesivo Automotivo Black Piano P/ Envelopamento 2m X 60cm - Black,IP891-2,UN,56.96,0,55.0,14.12,servi
Adesivo Automotivo Black Piano P/ Envelopamento 3m X 60cm,IP891-3,UN,45.6,0,37.0,21.18,servi
Adesivo Automotivo Black Piano P/ Envelopamento 4m X 60cm,IP891-4,UN,67,0,28.0,28.24,servi
Adesivo Automotivo Black Piano P/ Envelopamento 5m X 60cm,IP891-550,UN,123,0,20.0,38.83,servi
"Adesivo Automotivo Black Piano P/coluna De Carro 0,50 X 60cm",MLB3204039287,UN,17.37,0,0.0,0,servi
"Adesivo Automotivo Black Piano P/coluna De Carro 0,50 X 60cm - SILVER MAX PRETO SUPER BRILHO",IP891-050,UN,17.37,0,223.0,3.53,servi
"Adesivo Black Piano Envelopamento - 1,22m X 0,50 Cm",MLB1856809303,UN,26.75,0,0.0,0,servi
"Adesivo Black Piano Envelopamento - 1,22m X 0,50 Cm - SILVER MAX PRETO SUPER BRILHO",IP798-050,UN,26.75,0,349.0,7.42,servi
"Adesivo Black Piano Envelopamento - 1,38m X 0,50 Cm",IP250-050,UN,39.83,0,241.0,18.06,servi
"Adesivo Black Piano Envelopamento Coluna Carro 0,50x70cm",IP799-050,UN,23.13,0,105.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô 1,50m X 1,22m",MLB2656407139,UN,58.89,0,0.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô 1,50m X 1,22m - SILVER MAX PRETO SUPER BRILHO",IP798-150,UN,58.89,0,116.0,22.26,servi
"Adesivo Black Piano Envelopamento Teto Capô 1,60 M X 1,10m",IP798-160,UN,59.86,0,108.0,23.74,servi
"Adesivo Black Piano Envelopamento Teto Capô 1,70 M X 1,10m",IP798-170,UN,66.61,0,102.0,25.23,servi
"Adesivo Black Piano Envelopamento Teto Capô 1,80 M X 1,10m",MLB3165842306,UN,72.4,0,0.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô 1,80 M X 1,10m - SILVER MAX PRETO SUPER BRILHO",IP798-180,UN,72.4,0,96.0,26.71,servi
"Adesivo Black Piano Envelopamento Teto Capô 3,00 M X 1,22m",MLB3165829273,UN,114,0,0.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô 3,00 M X 1,22m - SILVER MAX PRETO SUPER BRILHO",IP798-3,UN,114,0,58.0,44.52,servi
"Adesivo Black Piano Envelopamento Teto Capô Carro 2,20m X 1m",MLB3236428616,UN,91.71,0,0.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô Carro 2,20m X 1m - SILVER MAX PRETO SUPER BRILHO",IP798-220,UN,91.71,0,79.0,32.65,servi
"Adesivo Black Piano Envelopamento Teto Capô Carro 2,5x 1,22m",MLB3191477071,UN,104.5,0,0.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô Carro 2,5x 1,22m - SILVER MAX PRETO SUPER BRILHO",IP798-250,UN,104.5,0,69.0,37.1,servi
"Adesivo Black Piano Envelopamento Teto Capô Carro 4m X 1,20m",MLB2754745920,UN,188.26,0,0.0,0,servi
"Adesivo Black Piano Envelopamento Teto Capô Carro 4m X 1,20m - SILVER MAX PRETO SUPER BRILHO",IP798-4,UN,188.26,0,42.0,59.36,servi
Adesivo Black Piano Importado Retrovisorcoluna 2m X 30cm,IP1097-2,UN,43.84,0,18.0,7.1,servi
Adesivo Blackout Bloqueia Luz Solar Porta Janela 3m X 50cm,MLB2852618296,UN,56.96,0,0.0,0,servi
Adesivo Blackout Bloqueia Luz Solar Porta Janela 3m X 50cm - Preto Fosco,IP812-3,UN,56.96,0,46.0,15.84,servi
Adesivo Blackout Bloqueia Luz Solar Porta Janela 4m X 50cm,MLB2852592355,UN,75.79,0,0.0,0,servi
Adesivo Blackout Bloqueia Luz Solar Porta Janela 4m X 50cm - Preto Fosco,IP812-4,UN,75.79,0,35.0,21.12,servi
Adesivo Blackout Bloqueia Luz Solar Porta Janela 5m X 50cm,MLB2789936486,UN,64.02,0,0.0,0,servi
Adesivo Blackout Bloqueia Luz Solar Porta Janela 5m X 50cm - Preto Blackout,IP812-5,UN,64.02,0,28.0,26.4,servi
Adesivo Blackout Branco Geladeiras Com Mancha Ferrugem 6mx1m,MLB2111808428,UN,181.49,0,0.0,0,servi
Adesivo Blackout Branco Geladeiras Com Mancha Ferrugem 6mx1m - VINIL BRANCO COLA PRETA BLACKOUT,IP1074-6,UN,181.49,0,-3.0,0,servi
"Adesivo Branco Envelopamento Laquear Mesa Evidros 2,5mx1,07m",IP888-250,UN,56.28,0,61.0,0,servi
"Adesivo Cromado Ouro Poliester Imprimax - C/ 1,00 X 2,00m",IP461-2,UN,73.9,0,75.0,0,servi
"Adesivo Cromado Prata Poliester Imprimax - C/ 1,00 X 2,00m",IP228-2,UN,57,0,23.0,28.12,servi
"Adesivo Cromado Prata Poliester Imprimax - C/ 1,00 X 2,20m",IP228-220,UN,93.65,0,22.0,30.93,servi
"Adesivo Cromado Prata Poliester Imprimax - C/ 1,00 X 3,00m",IP228-3,UN,106.2,0,15.0,42.18,servi
Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D,MLB20448504860,UN,53,0,0.0,0,servi
"Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D - 0,30 X 1,40",IP212-030,UN,19,0,203.0,6.67,servi
"Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D - 0,40 X 1,40",IP212-040,UN,28,0,151.0,8.89,servi
"Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D - 0,50 X 1,40",IP212-050,UN,35,0,122.0,11.12,servi
"Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D - 0,60 X 1,40",IP212-060,UN,40,0,101.0,13.34,servi
"Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D - 0,70 X 1,40",IP212-070,UN,48,0,86.0,15.56,servi
"Adesivo Envelopamento Automotivo Fibra de Carbono Preto 3D - 0,80 X 1,40",IP212-080,UN,53,0,75.0,17.78,servi
"Adesivo Envelopamento Automotivo Jateado Preto 1,22",IP150-050,UN,22.13,0,151.0,8.81,servi
"Adesivo Envelopamento Automotivo Jateado Preto 2,00 X 1,22",MLB1868070738,UN,62.74,0,0.0,0,servi
"Adesivo Envelopamento Automotivo Jateado Preto 2,00 X 1,22 - JATEADO PRETO POROSO",IP150-2,UN,62.74,0,37.0,35.22,servi
"Adesivo Envelopamento Automotivo Jateado Preto 2,50 X 1,22",IP150-250,1,87.89,0,29.0,44.03,servi
Adesivo Envelopamento Black Piano Geladeira 3mx61cm + Brinde,KIT-IP891-3-933,UN,63.71,0,16.0,25.18,servi
Adesivo Envelopamento Black Piano Geladeira 4mx61cm + Brinde,MLB3130979059,UN,66.61,0,0.0,0,servi
Adesivo Envelopamento Black Piano Geladeira 4mx61cm + Brinde - BRINDE - 1 espatula com feltro e 1 estilete de plastico,KIT-IP891-4-933,UN,66.61,0,9.0,32.24,servi
Adesivo Envelopamento Black Piano Geladeira 5mx61cm +,KIT-IP891-5-933,UN,120.73,0,5.0,39.3,servi
Adesivo Envelopamento Black Piano Geladeira 7mx61cm + Brinde,MLB3130973013,UN,138.05,0,0.0,0,servi
Adesivo Envelopamento Black Piano Geladeira 7mx61cm + Brinde - VINIL SUPER BRILHO BRINDE - 1 ESPATULA COM FELTRO MAIS 1 ,KIT-IP891-7-933,UN,138.05,0,0.0,53.42,servi
"Adesivo Envelopamento Carro Moto Preto Fosco 1,50x 1,22",IP907-150,UN,52.13,0,513.0,0,servi
"Adesivo Envelopamento Carro Moto Preto Fosco 2,00x 1,22",IP907-2,UN,80.75,0,385.0,0,servi
